1,0,1689.0,385.0,146.62,332.71,1,-1.0,-1.0,-1.0
1,1,1303.0,503.0,61.514,139.59,1,-1.0,-1.0,-1.0
1,2,1258.0,569.0,40.123,91.049,1,-1.0,-1.0,-1.0
1,3,31.0,525.0,113.37,257.27,1,-1.0,-1.0,-1.0
1,4,1800.0,483.0,94.66,214.81,1,-1.0,-1.0,-1.0
2,5,1689.0,385.0,146.62,332.71,1,-1.0,-1.0,-1.0
2,6,1312.0,503.0,61.514,139.59,1,-1.0,-1.0,-1.0
2,7,1744.0,476.0,123.42,280.06,1,-1.0,-1.0,-1.0
2,8,1254.0,537.0,52.0,118.0,1,-1.0,-1.0,-1.0
2,9,55.0,542.0,94.66,214.81,1,-1.0,-1.0,-1.0
2,10,1641.0,494.0,40.123,91.049,1,-1.0,-1.0,-1.0
3,11,1742.0,513.0,94.66,214.81,1,-1.0,-1.0,-1.0
3,12,1664.0,418.0,135.42,307.29,1,-1.0,-1.0,-1.0
3,13,1312.0,503.0,61.514,139.59,1,-1.0,-1.0,-1.0
3,14,1776.0,473.0,113.37,257.27,1,-1.0,-1.0,-1.0
3,15,1234.0,415.0,103.17,234.13,1,-1.0,-1.0,-1.0
3,16,107.0,494.0,103.17,234.13,1,-1.0,-1.0,-1.0
3,17,51.0,555.0,87.838,199.32,1,-1.0,-1.0,-1.0
4,18,1668.0,371.0,159.84,362.7,1,-1.0,-1.0,-1.0
4,19,1759.0,473.0,113.37,257.27,1,-1.0,-1.0,-1.0
4,20,1852.0,505.0,30.903,70.127,1,-1.0,-1.0,-1.0
4,21,1305.0,500.0,67.474,153.11,1,-1.0,-1.0,-1.0
4,22,107.0,494.0,103.17,234.13,1,-1.0,-1.0,-1.0
4,23,58.0,566.0,79.918,181.35,1,-1.0,-1.0,-1.0
5,24,1692.0,371.0,159.84,362.7,1,-1.0,-1.0,-1.0
5,25,1848.0,505.0,30.903,70.127,1,-1.0,-1.0,-1.0
5,26,1318.0,537.0,52.0,118.0,1,-1.0,-1.0,-1.0
5,27,1643.0,396.0,159.84,362.7,1,-1.0,-1.0,-1.0
6,28,1666.0,385.0,146.62,332.71,1,-1.0,-1.0,-1.0
6,29,1849.0,510.0,28.302,64.224,1,-1.0,-1.0,-1.0
6,30,1333.0,498.0,56.686,128.63,1,-1.0,-1.0,-1.0
6,31,1318.0,537.0,52.0,118.0,1,-1.0,-1.0,-1.0
6,32,1741.0,473.0,113.37,257.27,1,-1.0,-1.0,-1.0
6,33,107.0,494.0,103.17,234.13,1,-1.0,-1.0,-1.0
7,34,1668.0,371.0,159.84,362.7,1,-1.0,-1.0,-1.0
7,35,1849.0,510.0,28.302,64.224,1,-1.0,-1.0,-1.0
7,36,1316.0,489.0,67.474,153.11,1,-1.0,-1.0,-1.0
7,37,1351.0,506.0,56.686,128.63,1,-1.0,-1.0,-1.0
7,38,159.0,550.0,40.123,91.049,1,-1.0,-1.0,-1.0
7,39,1263.0,545.0,47.794,108.46,1,-1.0,-1.0,-1.0
8,40,1668.0,371.0,159.84,362.7,1,-1.0,-1.0,-1.0
8,41,1322.0,494.0,61.514,139.59,1,-1.0,-1.0,-1.0
8,42,1848.0,505.0,30.903,70.127,1,-1.0,-1.0,-1.0
8,43,123.0,494.0,103.17,234.13,1,-1.0,-1.0,-1.0
8,44,257.0,455.0,113.37,257.27,1,-1.0,-1.0,-1.0
