0.0,1689.0,385.0,146.62,332.71,67.567,1.0,-1.0,-1.0
1.0,1303.0,503.0,61.514,139.59,29.439,1.0,-1.0,-1.0
2.0,1258.0,569.0,40.123,91.049,19.601,1.0,-1.0,-1.0
3.0,31.0,525.0,113.37,257.27,17.013,1.0,-1.0,-1.0
4.0,1800.0,483.0,94.66,214.81,11.949,1.0,-1.0,-1.0
5.0,1689.0,385.0,146.62,332.71,66.725,1.0,-1.0,-1.0
6.0,1312.0,503.0,61.514,139.59,36.614,1.0,-1.0,-1.0
7.0,1744.0,476.0,123.42,280.06,16.976,1.0,-1.0,-1.0
8.0,1254.0,537.0,52.0,118.0,15.979,1.0,-1.0,-1.0
9.0,55.0,542.0,94.66,214.81,9.3326,1.0,-1.0,-1.0
10.0,1641.0,494.0,40.123,91.049,6.0638,1.0,-1.0,-1.0
11.0,1742.0,513.0,94.66,214.81,64.803,1.0,-1.0,-1.0
12.0,1664.0,418.0,135.42,307.29,31.198,1.0,-1.0,-1.0
13.0,1312.0,503.0,61.514,139.59,30.007,1.0,-1.0,-1.0
14.0,1776.0,473.0,113.37,257.27,14.299,1.0,-1.0,-1.0
15.0,1234.0,415.0,103.17,234.13,12.991,1.0,-1.0,-1.0
16.0,107.0,494.0,103.17,234.13,11.712,1.0,-1.0,-1.0
17.0,51.0,555.0,87.838,199.32,3.7319,1.0,-1.0,-1.0
18.0,1668.0,371.0,159.84,362.7,53.87,1.0,-1.0,-1.0
19.0,1759.0,473.0,113.37,257.27,34.214,1.0,-1.0,-1.0
20.0,1852.0,505.0,30.903,70.127,24.793,1.0,-1.0,-1.0
21.0,1305.0,500.0,67.474,153.11,21.299,1.0,-1.0,-1.0
22.0,107.0,494.0,103.17,234.13,15.325,1.0,-1.0,-1.0
23.0,58.0,566.0,79.918,181.35,3.316,1.0,-1.0,-1.0
24.0,1692.0,371.0,159.84,362.7,52.074,1.0,-1.0,-1.0
25.0,1848.0,505.0,30.903,70.127,36.829,1.0,-1.0,-1.0
26.0,1318.0,537.0,52.0,118.0,25.687,1.0,-1.0,-1.0
27.0,1643.0,396.0,159.84,362.7,11.573,1.0,-1.0,-1.0
28.0,1666.0,385.0,146.62,332.71,52.587,1.0,-1.0,-1.0
29.0,1849.0,510.0,28.302,64.224,35.023,1.0,-1.0,-1.0
30.0,1333.0,498.0,56.686,128.63,30.194,1.0,-1.0,-1.0
31.0,1318.0,537.0,52.0,118.0,30.132,1.0,-1.0,-1.0
32.0,1741.0,473.0,113.37,257.27,29.672,1.0,-1.0,-1.0
33.0,107.0,494.0,103.17,234.13,20.212,1.0,-1.0,-1.0
34.0,1668.0,371.0,159.84,362.7,49.716,1.0,-1.0,-1.0
35.0,1849.0,510.0,28.302,64.224,35.359,1.0,-1.0,-1.0
36.0,1316.0,489.0,67.474,153.11,28.89,1.0,-1.0,-1.0
37.0,1351.0,506.0,56.686,128.63,10.428,1.0,-1.0,-1.0
38.0,159.0,550.0,40.123,91.049,7.9165,1.0,-1.0,-1.0
39.0,1263.0,545.0,47.794,108.46,4.7235,1.0,-1.0,-1.0
40.0,1668.0,371.0,159.84,362.7,50.69,1.0,-1.0,-1.0
41.0,1322.0,494.0,61.514,139.59,38.787,1.0,-1.0,-1.0
42.0,1848.0,505.0,30.903,70.127,24.904,1.0,-1.0,-1.0
43.0,123.0,494.0,103.17,234.13,15.789,1.0,-1.0,-1.0
44.0,257.0,455.0,113.37,257.27,10.617,1.0,-1.0,-1.0
